Close,High,Low,Open,Volume,Date
19.846782684,20.401162089,19.809824057,20.234848268,135900,2000-07-26
20.179393768,20.475062541,20.068517978,20.068517978,91400,2000-07-27
19.698934555,19.994603366,19.698934555,19.957644765,70600,2000-07-28
20.493543625,20.548981525,19.920685327,20.105478326,121900,2000-07-31
20.087005615,20.308757287,19.957650473,20.031567697,131500,2000-08-01
20.216360092,20.290277314,19.957649817,19.957649817,82400,2000-08-02
20.327234268,20.38267218,20.031565406,20.197879141,80800,2000-08-03
20.604431152,20.826182878,20.438117358,20.567472531,80700,2000-08-04
20.881608963,20.918567563,20.678336663,20.696815963,71600,2000-08-07
20.678340912,20.696820216,20.419630659,20.659861608,121500,2000-08-08
20.863138199,20.992493352,20.770741661,20.844658891,77100,2000-08-09
21.140327454,21.214244682,20.992492996,20.992492996,99500,2000-08-10
21.343601227,21.343601227,20.881618516,20.992494367,140200,2000-08-11
21.288158417,21.288158417,20.844655116,20.99248955,163700,2000-08-14
21.509908676,21.583825888,21.362074252,21.362074252,57800,2000-08-15
21.310413361,21.609506881,21.27302667,21.422573431,849600,2000-08-16
20.936546326,21.329106569,20.899159636,21.235639845,381300,2000-08-17
21.385194778,21.385194778,21.142181201,21.160874553,420300,2000-08-18
21.609508514,21.721668593,21.534735129,21.534735129,120900,2000-08-21
22.114227295,22.207694021,21.871213808,21.945987189,128000,2000-08-22
22.114227295,22.13292064,21.871213808,21.945987189,86900,2000-08-23
22.020769119,22.132929234,21.927302357,22.132929234,39300,2000-08-24
21.759056091,21.83382948,21.459962537,21.759056091,121600,2000-08-25
21.721664429,21.9272912,21.235637514,21.684277743,366000,2000-08-28
21.759056091,21.796442786,21.347802454,21.534735925,114700,2000-08-29
21.534734726,21.665588149,21.422574649,21.534734726,99400,2000-08-30
21.665586472,21.665586472,21.45995968,21.534733059,76700,2000-08-31
22.26376915,22.319849173,22.095529081,22.095529081,88400,2000-09-01
22.245080948,22.282467639,21.833827351,21.833827351,60500,2000-09-05
22.338544846,22.544171618,22.132918073,22.170304759,107900,2000-09-06
22.319860458,22.413327211,22.132926954,22.282473757,63500,2000-09-07
22.151622772,22.394636355,21.927302542,22.058156009,88600,2000-09-08
22.095537186,22.095537186,21.79644362,21.79644362,48200,2000-09-11
21.908596039,21.92728938,21.684275943,21.908596039,70800,2000-09-12
21.516050339,21.5721304,21.3291168,21.534743693,115700,2000-09-13
21.759056091,21.83382948,21.646896008,21.721669397,89200,2000-09-14
21.254339218,21.459966071,21.104792416,21.459966071,54900,2000-09-15
